gt_char,pred_char,count,pct_error
0,6,220,0.39855072463768115
3,2,81,0.14673913043478262
M,N,65,0.11775362318840579
Q,O,48,0.08695652173913043
Y,V,21,0.03804347826086957
W,N,13,0.02355072463768116
1,4,9,0.016304347826086956
0,1,8,0.014492753623188406
J,I,8,0.014492753623188406
9,5,6,0.010869565217391304
0,2,3,0.005434782608695652
T,I,3,0.005434782608695652
8,6,3,0.005434782608695652
3,1,3,0.005434782608695652
I,L,2,0.0036231884057971015
N,O,2,0.0036231884057971015
J,B,2,0.0036231884057971015
U,O,2,0.0036231884057971015
U,W,2,0.0036231884057971015
F,E,2,0.0036231884057971015
2,7,2,0.0036231884057971015
6,2,2,0.0036231884057971015
4,8,2,0.0036231884057971015
O,Z,1,0.0018115942028985507
2,9,1,0.0018115942028985507
9,6,1,0.0018115942028985507
3,_,1,0.0018115942028985507
4,1,1,0.0018115942028985507
J,O,1,0.0018115942028985507
Q,3,1,0.0018115942028985507
Q,1,1,0.0018115942028985507
3,7,1,0.0018115942028985507
1,6,1,0.0018115942028985507
7,_,1,0.0018115942028985507
6,_,1,0.0018115942028985507
C,O,1,0.0018115942028985507
O,B,1,0.0018115942028985507
3,6,1,0.0018115942028985507
6,5,1,0.0018115942028985507
5,_,1,0.0018115942028985507
P,L,1,0.0018115942028985507
7,4,1,0.0018115942028985507
3,0,1,0.0018115942028985507
Q,B,1,0.0018115942028985507
1,5,1,0.0018115942028985507
5,8,1,0.0018115942028985507
8,_,1,0.0018115942028985507
0,U,1,0.0018115942028985507
T,F,1,0.0018115942028985507
F,O,1,0.0018115942028985507
L,N,1,0.0018115942028985507
Z,T,1,0.0018115942028985507
8,3,1,0.0018115942028985507
3,8,1,0.0018115942028985507
2,3,1,0.0018115942028985507
U,Z,1,0.0018115942028985507
Z,O,1,0.0018115942028985507
0,4,1,0.0018115942028985507
4,0,1,0.0018115942028985507
2,_,1,0.0018115942028985507
F,Z,1,0.0018115942028985507
U,I,1,0.0018115942028985507
H,K,1,0.0018115942028985507
5,4,1,0.0018115942028985507
Y,X,1,0.0018115942028985507
6,8,1,0.0018115942028985507
