scenario,dataset,image,gt_text,detected,ocr_text,ocr_conf,valid_format,complete_correct,char_correct,char_total,retries,det_latency_ms,ocr_latency_ms
Frontal,dataset_alpr,EPT-1426.png,EPT-1426,1,EPT-1426,0.0,1,1,7,7,0,1774.376600049436,834.1890999581665
Frontal,dataset_alpr,PVR-1760.png,PVR-1760,1,PVR-1760,0.0,1,1,7,7,0,16.390300006605685,805.2934999577701
Frontal,dataset_alpr,OZL-2562.png,OZL-2562,1,OZL-2562,0.0,1,1,7,7,0,15.2515999507159,811.566699994728
Frontal,dataset_alpr,NQN-2892.png,NQN-2892,1,NON-2892,0.0,1,0,6,7,0,15.010999981313944,810.5218999553472
Frontal,dataset_alpr,LEY-9979.png,LEY-9979,1,LEY-9979,0.0,1,1,7,7,0,14.760199934244156,875.9033000096679
Frontal,dataset_alpr,PMP-0917.png,PMP-0917,1,PMP-6917,0.0,1,0,6,7,0,13.99690005928278,956.4482999267057
Frontal,dataset_alpr,PCB-7996.png,PCB-7996,1,PCB-7996,0.0,1,1,7,7,0,14.16689995676279,964.0442999079823
Frontal,dataset_alpr,PDC-7889.png,PDC-7889,1,PDC-7889,0.0,1,1,7,7,0,14.30319994688034,892.2654999187216
Frontal,dataset_alpr,CZD-1166.png,CZD-1166,1,CZD-1166,0.0,1,1,7,7,0,13.943800004199147,886.3531000679359
Frontal,dataset_alpr,NIT-8755.png,NIT-8755,1,NIT-8755,0.0,1,1,7,7,0,14.923200011253355,943.2221000315621
Frontal,dataset_alpr,OQD-0725.png,OQD-0725,1,OQD-0725,0.0,1,1,7,7,0,18.240800010971725,982.353699975647
Frontal,dataset_alpr,YZY-4673.png,YZY-4673,1,YZV-4672,0.0,1,0,5,7,0,13.17879999987781,1062.0054000755772
Frontal,dataset_alpr,BJJ 1217.png,BJJ-1217,1,BJJ-1217,0.0,1,1,7,7,0,13.956099981442094,920.3892999794334
Frontal,dataset_alpr,MUE-3274.png,MUE-3274,1,MUE-3274,0.0,1,1,7,7,0,14.472100068815053,892.2357999254018
